1: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
2: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
6: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r\\n<Status product=\""Cisco Codec\"" version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion=\""4\"">\\r\\n  <Standby>\\r\\n    <State>Off</State>\\r\\n  </Standby>\\r\\n</Status>\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
7: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
14: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
18: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion'""}"				
20: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
26: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
27: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
36: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
37: "7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
