"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""192.168.100.155"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""UpdatePower""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r\\n<Status product=\""Cisco Codec\"" version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion=\""4\"">\\r\\n  <Standby>\\r\\n    <State>Off</State>\\r\\n  </Standby>\\r\\n</Status>\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r\\n<Status product=\""Cisco Codec\"" version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion=\""4\"">\\r\\n  <Standby>\\r\\n    <State>Halfwake</State>\\r\\n  </Standby>\\r\\n</Status>\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""192.168.100.155"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""b'\\x00\\xbf\\x00\\x00\\x01\\x02\\xc2'""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""192.168.100.155"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""b' \\xbf\\x01@\\x10\\x02\\x00\\x01\\x01!\\xff\\x00\\x00\\xff\\x00\\x00\\x00\\x00\\x00\\x00\\x00S'""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""192.168.100.155"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""UpdatePower""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""192.168.100.155"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""Token""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""192.168.100.155"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""Token""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""192.168.100.153"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""SetPower""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""192.168.100.153"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""b'\\x02\\x00\\x00\\x00\\x00\\x02'""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""192.168.100.153"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""b'\""\\x00\\x01@\\x00c'""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""nec_1_4042_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""192.168.100.153"""	" ""boxid"": 1"	" ""port_no"": 7142"	" ""id"": {""name"": ""nec_1_4042_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": null"	" ""subboxid"": 0}"	" ""message"": ""SetPower""}"			
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""Relay_Inactivity"""	" ""eventid"": 32814"	" ""subject"": {""port"": ""RLY7"""	" ""owner"": ""Ctrl2"""	" ""boxid"": 2"	" ""id"": {""name"": ""RLY7""}"	" ""host"": ""192.168.100.101"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Relay_Inactivity minutes = 127"""	" ""value"": 127}"		
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""Token""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""ContactClosure_Inactivity"""	" ""eventid"": 32815"	" ""subject"": {""port"": ""CII1"""	" ""owner"": ""Ctrl1Ebus1"""	" ""boxid"": 1"	" ""id"": {""name"": ""CII1""}"	" ""host"": ""192.168.100.100: eBUS ID 1"""	" ""hostType"": null"	" ""subboxid"": 1}"	" ""message"": ""ContactClosure_Inactivity minutes = 13149"""	" ""value"": 13149}"		
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""ContactClosure_Inactivity"""	" ""eventid"": 32815"	" ""subject"": {""port"": ""CII1"""	" ""owner"": ""Ctrl1Ebus4"""	" ""boxid"": 1"	" ""id"": {""name"": ""CII1""}"	" ""host"": ""192.168.100.100: eBUS ID 4"""	" ""hostType"": null"	" ""subboxid"": 4}"	" ""message"": ""ContactClosure_Inactivity minutes = 13149"""	" ""value"": 13149}"		
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""DigitalIO_Inactivity"""	" ""eventid"": 32813"	" ""subject"": {""port"": ""DIO4"""	" ""owner"": ""Ctrl1"""	" ""boxid"": 1"	" ""id"": {""name"": ""DIO4""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""DigitalIO_Inactivity minutes = 13149"""	" ""value"": 13149}"		
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""DigitalIO_Inactivity"""	" ""eventid"": 32813"	" ""subject"": {""port"": ""DIO1"""	" ""owner"": ""Ctrl1"""	" ""boxid"": 1"	" ""id"": {""name"": ""DIO1""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""DigitalIO_Inactivity minutes = 13149"""	" ""value"": 13149}"		
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""DigitalIO_Inactivity"""	" ""eventid"": 32813"	" ""subject"": {""port"": ""DIO2"""	" ""owner"": ""Ctrl1"""	" ""boxid"": 1"	" ""id"": {""name"": ""DIO2""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""DigitalIO_Inactivity minutes = 13149"""	" ""value"": 13149}"		
"7/7/2023 12:35:19 PM	{""actor"": ""iplprodriver"""	" ""schema"": 1"	" ""event"": ""DigitalIO_Inactivity"""	" ""eventid"": 32813"	" ""subject"": {""port"": ""DIO3"""	" ""owner"": ""Ctrl1"""	" ""boxid"": 1"	" ""id"": {""name"": ""DIO3""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""DigitalIO_Inactivity minutes = 13149"""	" ""value"": 13149}"		
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data out"""	" ""eventid"": 5"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r\\n<Status product=\""Cisco Codec\"" version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion=\""4\"">\\r\\n  <Standby>\\r\\n    <State>Off</State>\\r\\n  </Standby>\\r\\n</Status>\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM02"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""data in"""	" ""eventid"": 6"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""b'xgetxml /status/standby\\r\\n<Status product=\""Cisco Codec\"" version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion=\""4\"">\\r\\n  <Standby>\\r\\n    <State>Halfwake</State>\\r\\n  </Standby>\\r\\n</Status>\\r\\n** end\\r\\n\\r\\nOK\\r\\n'""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command finish"""	" ""eventid"": 14"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""UpdateFirmwareVersion""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""command start"""	" ""eventid"": 13"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""_DoMatchString_""}"				
"7/7/2023 12:35:19 PM	{""actor"": ""csco_12_5715_pro_proxy"""	" ""schema"": 1"	" ""event"": ""info"""	" ""eventid"": 3"	" ""subject"": {""port"": ""COM01"""	" ""boxid"": 1"	" ""id"": {""name"": ""csco_12_5715_pro_proxy""}"	" ""host"": ""192.168.100.100"""	" ""hostType"": ""controller"""	" ""subboxid"": 0}"	" ""message"": ""matched b'version=\""ce11.3.1.17.09fdf7c0b94\"" apiVersion'""}"				
